Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
8/27/25,DAMN.,Kendrick Lamar,104,105,1,436
8/27/25,Let God Sort Em Out,Clipse,105,65,4,6
8/27/25,Greetings From Your Hometown,Jonas Brothers,106,6,6,2
8/27/25,Texas Forever,Hudson Westbrook,107,120,59,4
8/27/25,What Not To,Tucker Wetmore,108,97,15,17
8/27/25,Meteora,Linkin Park,109,110,1,209
8/27/25,Starting Over,Chris Stapleton,110,103,3,247
8/27/25,35 Biggest Hits,Toby Keith,111,96,1,213
8/27/25,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,112,106,5,901
8/27/25,My Turn,Lil Baby,113,118,1,286
8/27/25,Scorpion,Drake,114,128,1,373
8/27/25,AM,Arctic Monkeys,115,117,6,369
8/27/25,Hungover,Ella Langley,116,114,49,47
8/27/25,50 Number Ones,George Strait,117,115,1,348
8/27/25,Religiously. The Album.,Bailey Zimmerman,118,121,7,114
8/27/25,T R A P S O U L,Bryson Tiller,119,122,8,437
8/27/25,Beautifully Broken,Jelly Roll,120,109,1,45
8/27/25,Gettin' Old,Luke Combs,121,119,4,126
8/27/25,Brat,Charli xcx,122,116,3,63
8/27/25,Evermore,Taylor Swift,123,193,1,226
8/27/25,All Time Greatest Hits,Lynyrd Skynyrd,124,113,45,320
8/27/25,Beauty Behind The Madness,The Weeknd,125,129,1,359
8/27/25,Think Later,Tate McRae,126,139,4,88
8/27/25,Greatest Hits,Guns N' Roses,127,126,3,738
8/27/25,Born To Die,Lana Del Rey,128,123,2,602
8/27/25,Teenage Dream,Katy Perry,129,127,1,436
8/27/25,Restless Mind,Sam Barber,130,141,48,42
8/27/25,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates,131,124,34,305
8/27/25,Channel Orange,Frank Ocean,132,131,2,244
8/27/25,Gold: Greatest Hits,ABBA,133,130,25,391
8/27/25,CHROMAKOPIA,Tyler| the Creator,134,144,1,43
8/27/25,Bewitched,Laufey,135,18,53,-
8/27/25,Beloved,Giveon,136,108,8,6
8/27/25,Toxicity,System of a Down,137,136,1,159
8/27/25,Good Girl Gone Bad,Rihanna,138,179,2,197
8/27/25,I Never Liked You,Future,139,145,1,173
8/27/25,Snipe Hunter,Tyler Childers,140,79,7,4
8/27/25,Graduation,Kanye West,141,146,1,394
8/27/25,Even In Arcadia,Sleep Token,142,132,1,15
8/27/25,Exodo,Peso Pluma,143,137,5,61
8/27/25,The Black Parade,My Chemical Romance,144,134,2,131
8/27/25,The Family Business,Jonas Brothers,145,177,112,10
8/27/25,Greatest Hits,2Pac,146,150,3,588
8/27/25,IGOR,Tyler| the Creator,147,133,1,306
