Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
2020-01-01,Fine Line,Harry Styles,1,1,1,2
2020-01-01,Christmas,Michael Buble,2,6,1,81
2020-01-01,Please Excuse Me For Being Antisocial,Roddy Ricch,3,3,1,3
2020-01-01,Merry Christmas,Mariah Carey,4,8,3,90
2020-01-01,When We All Fall Asleep; Where Do We Go?,Billie Eilish,5,9,1,39
2020-01-01,Hollywood's Bleeding,Post Malone,6,4,1,16
2020-01-01,The Best Of Pentatonix Christmas,Pentatonix,7,7,7,9
2020-01-01,The Christmas Song,Nat King Cole,8,11,7,48
2020-01-01,Frozen II,Soundtrack,9,5,1,6
2020-01-01,So Much Fun,Young Thug,10,36,1,19
2020-01-01,Lover,Taylor Swift,11,10,1,18
2020-01-01,Ultimate Christmas,Frank Sinatra,12,23,12,19
2020-01-01,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,13,13,13,79
2020-01-01,The Best Of Bing Crosby: 20th Century Masters: The Christmas Collection,Bing Crosby,14,21,14,42
2020-01-01,A Christmas Gift For You From Phil Spector,Various Artists,15,25,12,9
2020-01-01,Rudolph The Red-Nosed Reindeer,Burl Ives,16,26,16,42
2020-01-01,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee,17,33,17,7
2020-01-01,The Classic Christmas Album,Perry Como,18,32,18,13
2020-01-01,What You See Is What You Get,Luke Combs,19,14,1,7
2020-01-01,KIRK,DaBaby,20,17,1,13
2020-01-01,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry,21,35,21,13
2020-01-01,A Legendary Christmas,John Legend,22,27,22,15
2020-01-01,Classic Christmas Album,Andy Williams,23,38,23,20
2020-01-01,Fully Loaded: God's Country,Blake Shelton,24,2,2,2
2020-01-01,It's Christmas Time,Elvis Presley,25,39,25,76
2020-01-01,Cuz I Love You,Lizzo,26,28,4,36
2020-01-01,The Best Of Bobby Helms,Bobby Helms,27,47,27,3
2020-01-01,Over It,Summer Walker,28,19,2,12
2020-01-01,Abbey Road,The Beatles,29,29,1,341
2020-01-01,A Love Letter To You 4,Trippie Redd,30,15,1,5
2020-01-01,Christmas Classics,Bing Crosby,31,44,19,27
2020-01-01,Dont Smile At Me,Billie Eilish,32,37,14,105
2020-01-01,AI YoungBoy 2,YoungBoy Never Broke Again,33,24,1,11
2020-01-01,Goodbye & Good Riddance,Juice WRLD,34,12,4,84
2020-01-01,Romance,Camila Cabello,35,18,3,3
2020-01-01,Wrapped In Red,Kelly Clarkson,36,41,3,44
2020-01-01,Greatest Hits,Queen,37,30,11,366
2020-01-01,The Dean Martin Christmas Album,Dean Martin,38,51,38,14
2020-01-01,Death Race For Love,Juice WRLD,39,20,1,42
2020-01-01,The Andy Williams Christmas Album,Andy Williams,40,60,40,8
2020-01-01,Ghetto Gospel,Rod Wave,41,31,10,8
2020-01-01,Star Wars: The Rise Of Skywalker,Soundtrack,42,42,1,-
2020-01-01,Last Christmas (Soundtrack),George Michael & Wham!,43,59,43,7
2020-01-01,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,44,42,20,32
2020-01-01,beerbongs & bentleys,Post Malone,45,40,1,87
2020-01-01,Diamonds,Elton John,46,53,7,111
2020-01-01,No.6 Collaborations Project,Ed Sheeran,47,43,1,24
2020-01-01,Melly vs. Melvin,YNW Melly,48,45,8,5
2020-01-01,Thank U; Next,Ariana Grande,49,52,1,46
2020-01-01,This One's For You,Luke Combs,50,49,4,134
2020-01-01,ASTROWORLD,Travis Scott,51,46,1,73
2020-01-01,Indigo,Chris Brown,52,48,1,26
2020-01-01,The Jackson 5 Christmas Album,Jackson 5,53,99,53,2
2020-01-01,Feliz Navidad,Jose Feliciano,54,97,54,7
2020-01-01,Noel,Josh Groban,55,67,1,94
2020-01-01,Christmas Portrait,Carpenters,56,80,56,55
2020-01-01,Cottonwood,NLE Choppa,57,57,1,-
2020-01-01,Hamilton: An American Musical,Original Broadway Cast,58,55,3,222
2020-01-01,Free Spirit,Khalid,59,50,1,38
2020-01-01,Scorpion,Drake,60,54,1,78
2020-01-01,A Winter Romance,Dean Martin,61,119,61,4
2020-01-01,9,Jason Aldean,62,61,2,5
2020-01-01,Rumours,Fleetwood Mac,63,73,1,352
2020-01-01,7 (EP),Lil Nas X,64,70,2,27
2020-01-01,Perfect Ten,Mustard,65,62,8,26
2020-01-01,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,66,78,5,606
2020-01-01,Stoney,Post Malone,67,57,4,159
2020-01-01,East Atlanta Santa 3,Gucci Mane,68,68,1,-
2020-01-01,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,69,69,22,451
2020-01-01,Under The Mistletoe,Justin Bieber,70,101,1,49
2020-01-01,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,71,76,1,139
2020-01-01,We Love You Tecca,Lil Tecca,72,63,4,17
2020-01-01,The Search,NF,73,72,1,22
2020-01-01,American Teen,Khalid,74,68,4,147
2020-01-01,Baby On Baby,DaBaby,75,71,7,43
2020-01-01,Bad Vibes Forever,XXXTENTACION,76,34,5,3
2020-01-01,True 2 Myself,Lil Tjay,77,64,5,11
2020-01-01,?,XXXTENTACION,78,66,1,93
2020-01-01,How The Grinch Stole Christmas (Soundtrack),Boris Karloff / Thurl Ravenscroft,79,128,79,4
2020-01-01,Thriller,Michael Jackson,80,81,1,398
2020-01-01,The Kids Are Coming (EP),Tones And I,81,75,62,12
2020-01-01,Berry Christmas (EP),Chuck Berry,82,156,82,3
2020-01-01,Chixtape 5,Tory Lanez,83,58,2,6
2020-01-01,Traveller,Chris Stapleton,84,84,1,224
2020-01-01,The Best Of Stevie Wonder: 20th Century Masters The Christmas Collection,Stevie Wonder,85,158,85,4
2020-01-01,Fear Inoculum,Tool,86,22,1,15
2020-01-01,Power To The People: The Hits,John Lennon,87,159,24,15
2020-01-01,Merry Christmas From The Beach Boys,The Beach Boys,88,149,88,4
2020-01-01,The Greatest Showman,Soundtrack,89,83,1,107
2020-01-01,Back In Black,AC/DC,90,86,4,391
2020-01-01,The Very Best Of The Eagles,Eagles,91,138,3,213
2020-01-01,Look Up Child,Lauren Daigle,92,74,3,68
2020-01-01,Shawn Mendes,Shawn Mendes,93,77,1,83
2020-01-01,A Pentatonix Christmas,Pentatonix,94,112,1,35
2020-01-01,Journey's Greatest Hits,Journey,95,102,10,596
2020-01-01,Bohemian Rhapsody (Soundtrack),Queen,96,95,2,62
2020-01-01,k bye for now (swt live),Ariana Grande,97,97,1,-
2020-01-01,÷ (Divide),Ed Sheeran,98,87,1,147
2020-01-01,IGOR,Tyler| The Creator,99,118,1,32
2020-01-01,Happiness Begins,Jonas Brothers,100,85,1,29
2020-01-01,Ultimate Sinatra,Frank Sinatra,101,98,32,90
2020-01-01,The Dark Side Of The Moon,Pink Floyd,102,115,1,948
2020-01-01,Christmas Eve And Other Stories,Trans-Siberian Orchestra,103,113,48,61
2020-01-01,Old Dominion,Old Dominion,104,92,9,9
2020-01-01,Quality Control: Control The Streets; Volume 2,Various Artists,105,82,3,19
2020-01-01,Hoodie SZN,A Boogie Wit da Hoodie,106,79,1,53
2020-01-01,2014 Forest Hills Drive,J. Cole,107,111,1,264
2020-01-01,Summertime Shootout 3: Coldest Summer Ever,Fabolous,108,65,7,4
2020-01-01,1,The Beatles,109,100,1,400
2020-01-01,Dreamville & J. Cole: Revenge Of The Dreamers III,Various Artists,110,89,1,25
2020-01-01,Ella Wishes You A Swinging Christmas,Ella Fitzgerald,111,111,1,-
2020-01-01,Norman Fucking Rockwell!,Lana Del Rey,112,129,3,17
2020-01-01,Hot Pink,Doja Cat,113,104,19,8
2020-01-01,Invasion Of Privacy,Cardi B,114,107,1,90
2020-01-01,Greatest Hits,Tom Petty And The Heartbreakers,115,117,2,337
2020-01-01,Swimming,Mac Miller,116,121,3,73
2020-01-01,Born To Die,Lana Del Rey,117,148,2,337
2020-01-01,Jesus Is King (Soundtrack),Kanye West,118,91,1,9
2020-01-01,Pray For The Wicked,Panic! At The Disco,119,130,1,79
2020-01-01,Take Care,Drake,120,116,1,356
2020-01-01,If I Know Me,Morgan Wallen,121,103,35,65
2020-01-01,Coconut Oil (EP),Lizzo,122,136,31,23
2020-01-01,DAMN.,Kendrick Lamar,123,106,1,141
2020-01-01,Golden Hour,Kacey Musgraves,124,108,4,71
2020-01-01,You Make It Feel Like Christmas,Gwen Stefani,125,187,16,15
2020-01-01,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,126,126,1,228
2020-01-01,Homesick (EP),Trevor Daniel,127,96,83,6
2020-01-01,Frozen: The Songs,Soundtrack,128,94,16,28
2020-01-01,Dan + Shay,Dan + Shay,129,109,6,79
2020-01-01,Nevermind,Nirvana,130,140,1,453
2020-01-01,Luv Is Rage 2,Lil Uzi Vert,131,88,1,122
2020-01-01,That's Christmas To Me,Pentatonix,132,139,2,53
2020-01-01,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,133,120,1,64
2020-01-01,I'm Him,Kevin Gates,134,105,4,13
2020-01-01,Snowflakes,Toni Braxton,135,119,8,-
2020-01-01,Wildcard,Miranda Lambert,136,133,4,8
2020-01-01,White Christmas,Bing Crosby,137,197,45,37
2020-01-01,Christmas: A Season Of Love,Idina Menzel,138,160,123,4
2020-01-01,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,139,145,16,190
2020-01-01,good kid; m.A.A.d city,Kendrick Lamar,140,143,2,374
2020-01-01,Blurryface,Twenty One Pilots,141,154,1,241
2020-01-01,These Are Special Times,Celine Dion,142,123,2,79
2020-01-01,Championships,Meek Mill,143,114,1,56
2020-01-01,McCartney II,Paul McCartney,144,3,25,-
2020-01-01,21,Adele,145,164,1,445
2020-01-01,Christmas Is Here!,Pentatonix,146,161,7,13
2020-01-01,Metallica,Metallica,147,153,1,554
2020-01-01,We Wish You A Merry Christmas,Ray Conniff And The Ray Conniff Singers,148,148,2,-
2020-01-01,Everyday Is Christmas,Sia,149,27,11,-
2020-01-01,Warmer In The Winter,Lindsey Stirling,150,146,22,21
2020-01-01,Experiment,Kane Brown,151,132,1,59
2020-01-01,Evolve,Imagine Dragons,152,147,2,131
2020-01-01,K-12 (Soundtrack),Melanie Martinez,153,3,14,-
2020-01-01,X 100PRE,Bad Bunny,154,124,11,53
2020-01-01,MTV Unplugged In New York,Nirvana,155,182,1,97
2020-01-01,The Kacey Musgraves Christmas Show (Soundtrack),Kacey Musgraves,156,120,2,-
2020-01-01,Appetite For Destruction,Guns N' Roses,157,168,1,215
2020-01-01,40 Christmas Classics,Andy Williams,158,158,2,-
2020-01-01,Die A Legend,Polo G,159,127,6,29
2020-01-01,Pure Southern Soul: Otis Redding,Otis Redding,160,160,2,-
2020-01-01,Purple Rain (Soundtrack),Prince And The Revolution,161,1,129,-
2020-01-01,Curtain Call: The Hits,Eminem,162,131,1,476
2020-01-01,Greatest Hits,Fleetwood Mac,163,193,14,145
2020-01-01,Everyday Life,Coldplay,164,122,7,5
2020-01-01,Back To Black,Amy Winehouse,165,200,2,168
2020-01-01,Glow,Brett Eldredge,166,180,29,17
2020-01-01,Ocean,Lady Antebellum,167,125,11,6
2020-01-01,Christmas Songs By Sinatra,Frank Sinatra,168,71,42,-
2020-01-01,The Wall,Pink Floyd,169,177,1,154
2020-01-01,Their Greatest Hits 1971-1975,Eagles,170,179,1,306
2020-01-01,The Essential Elvis Presley,Elvis Presley,171,192,42,26
2020-01-01,Greatest Hits,Bob Seger & The Silver Bullet Band,172,184,8,309
2020-01-01,Views,Drake,173,142,1,191
2020-01-01,1989,Taylor Swift,174,150,1,263
2020-01-01,Greatest Hits,2Pac,175,151,3,304
2020-01-01,The Beatles [White Album],The Beatles,176,172,1,211
2020-01-01,GIRL,Maren Morris,177,162,4,42
2020-01-01,Map Of The Soul: PERSONA,BTS,178,178,1,31
2020-01-01,Drip Harder,Lil Baby & Gunna,179,141,4,64
2020-01-01,Purple Haze 2,Cam'Ron,180,180,1,-
2020-01-01,Love Yourself: Answer,BTS,181,170,1,55
2020-01-01,17,XXXTENTACION,182,144,2,122
2020-01-01,Starboy,The Weeknd,183,134,1,161
2020-01-01,The Christmas Attic,Trans-Siberian Orchestra,184,60,47,-
2020-01-01,Sweetener,Ariana Grande,185,165,1,71
2020-01-01,Kidz Bop 40,Kidz Bop Kids,186,157,97,6
2020-01-01,Home For Christmas,*NSYNC,187,7,33,-
2020-01-01,MONTANA,French Montana,188,110,25,3
2020-01-01,Beauty Behind The Madness,The Weeknd,189,155,1,225
2020-01-01,The Classic Christmas Album,Tony Bennett,190,91,7,-
2020-01-01,Perception,NF,191,166,1,116
2020-01-01,The Classic Christmas Album,Kenny G,192,199,128,12
2020-01-01,A Donny Hathaway Collection,Donny Hathaway,193,193,1,-
2020-01-01,WHO,The Who,194,90,2,3
2020-01-01,Trench,Twenty One Pilots,195,181,2,62
2020-01-01,Ctrl,SZA,196,185,3,133
2020-01-01,Home Alone,Soundtrack,197,197,1,-
2020-01-01,Christmas Celebration,Mannheim Steamroller,198,19,22,-
2020-01-01,Kane Brown,Kane Brown,199,189,5,160
2020-01-01,III,The Lumineers,200,2,7,-
2020-01-08,JACKBOYS,JACKBOYS,1,1,1,-
2020-01-08,Please Excuse Me For Being Antisocial,Roddy Ricch,2,3,1,4
2020-01-08,Hollywood's Bleeding,Post Malone,3,6,1,17
2020-01-08,Fine Line,Harry Styles,4,1,1,3
2020-01-08,Frozen II,Soundtrack,5,9,1,7
2020-01-08,When We All Fall Asleep; Where Do We Go?,Billie Eilish,6,5,1,40
2020-01-08,So Much Fun,Young Thug,7,10,1,20
2020-01-08,KIRK,DaBaby,8,20,1,14
2020-01-08,Lover,Taylor Swift,9,11,1,19
2020-01-08,Over It,Summer Walker,10,28,2,13
2020-01-08,A Love Letter To You 4,Trippie Redd,11,30,1,6
2020-01-08,What You See Is What You Get,Luke Combs,12,19,1,8
2020-01-08,AI YoungBoy 2,YoungBoy Never Broke Again,13,33,1,12
2020-01-08,Romance,Camila Cabello,14,35,3,4
2020-01-08,Goodbye & Good Riddance,Juice WRLD,15,34,4,85
2020-01-08,Cuz I Love You,Lizzo,16,26,4,37
2020-01-08,Ghetto Gospel,Rod Wave,17,41,10,9
2020-01-08,Dont Smile At Me,Billie Eilish,18,32,14,106
2020-01-08,beerbongs & bentleys,Post Malone,19,45,1,88
2020-01-08,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,20,44,20,33
2020-01-08,Death Race For Love,Juice WRLD,21,39,1,43
2020-01-08,No.6 Collaborations Project,Ed Sheeran,22,47,1,25
2020-01-08,Greatest Hits,Queen,23,37,11,367
2020-01-08,ASTROWORLD,Travis Scott,24,51,1,74
2020-01-08,Scorpion,Drake,25,60,1,79
2020-01-08,Indigo,Chris Brown,26,52,1,27
2020-01-08,Melly vs. Melvin,YNW Melly,27,48,8,6
2020-01-08,This One's For You,Luke Combs,28,50,4,135
2020-01-08,7 (EP),Lil Nas X,29,64,2,28
2020-01-08,Thank U; Next,Ariana Grande,30,49,1,47
2020-01-08,Fully Loaded: God's Country,Blake Shelton,31,24,2,3
2020-01-08,Perfect Ten,Mustard,32,65,8,27
2020-01-08,The Kids Are Coming (EP),Tones And I,33,81,33,13
2020-01-08,Free Spirit,Khalid,34,59,1,39
2020-01-08,Stoney,Post Malone,35,67,4,160
2020-01-08,Abbey Road,The Beatles,36,29,1,342
2020-01-08,Baby On Baby,DaBaby,37,75,7,44
2020-01-08,Diamonds,Elton John,38,46,7,112
2020-01-08,We Love You Tecca,Lil Tecca,39,72,4,18
2020-01-08,Hamilton: An American Musical,Original Broadway Cast,40,58,3,223
2020-01-08,Shawn Mendes,Shawn Mendes,41,93,1,84
2020-01-08,True 2 Myself,Lil Tjay,42,77,5,12
2020-01-08,The Search,NF,43,73,1,23
2020-01-08,Happiness Begins,Jonas Brothers,44,100,1,30
2020-01-08,?,XXXTENTACION,45,78,1,94
2020-01-08,÷ (Divide),Ed Sheeran,46,98,1,148
2020-01-08,Chixtape 5,Tory Lanez,47,83,2,7
2020-01-08,American Teen,Khalid,48,74,4,148
2020-01-08,Hot Pink,Doja Cat,49,113,19,9
2020-01-08,Quality Control: Control The Streets; Volume 2,Various Artists,50,105,3,20
2020-01-08,If I Know Me,Morgan Wallen,51,121,35,66
2020-01-08,Dreamville & J. Cole: Revenge Of The Dreamers III,Various Artists,52,110,1,26
2020-01-08,Hoodie SZN,A Boogie Wit da Hoodie,53,106,1,54
2020-01-08,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,54,69,22,452
2020-01-08,Old Dominion,Old Dominion,55,104,9,10
2020-01-08,Invasion Of Privacy,Cardi B,56,114,1,91
2020-01-08,Frozen,Soundtrack,57,1,135,-
2020-01-08,Dan + Shay,Dan + Shay,58,129,6,80
2020-01-08,Coconut Oil (EP),Lizzo,59,122,31,24
2020-01-08,Cottonwood,NLE Choppa,60,57,57,2
2020-01-08,Traveller,Chris Stapleton,61,84,1,225
2020-01-08,The Greatest Showman,Soundtrack,62,89,1,108
2020-01-08,1,The Beatles,63,109,1,401
2020-01-08,Homesick (EP),Trevor Daniel,64,127,64,7
2020-01-08,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,65,66,5,607
2020-01-08,Rumours,Fleetwood Mac,66,63,1,353
2020-01-08,Take Care,Drake,67,120,1,357
2020-01-08,Luv Is Rage 2,Lil Uzi Vert,68,131,1,123
2020-01-08,DAMN.,Kendrick Lamar,69,123,1,142
2020-01-08,Journey's Greatest Hits,Journey,70,95,10,597
2020-01-08,9,Jason Aldean,71,62,2,6
2020-01-08,Jesus Is King (Soundtrack),Kanye West,72,118,1,10
2020-01-08,Jesus Is Born,Sunday Service Choir,73,73,1,-
2020-01-08,Championships,Meek Mill,74,143,1,57
2020-01-08,GIRL,Maren Morris,75,177,4,43
2020-01-08,I'm Him,Kevin Gates,76,134,4,14
2020-01-08,Summertime Shootout 3: Coldest Summer Ever,Fabolous,77,108,7,5
2020-01-08,Views,Drake,78,173,1,192
2020-01-08,Experiment,Kane Brown,79,151,1,60
2020-01-08,X 100PRE,Bad Bunny,80,154,11,54
2020-01-08,IGOR,Tyler| The Creator,81,99,1,33
2020-01-08,Die A Legend,Polo G,82,159,6,30
2020-01-08,Look Up Child,Lauren Daigle,83,92,3,69
2020-01-08,2014 Forest Hills Drive,J. Cole,84,107,1,265
2020-01-08,Evolve,Imagine Dragons,85,152,2,132
2020-01-08,Greatest Hits,Tom Petty And The Heartbreakers,86,115,2,338
2020-01-08,MONTANA,French Montana,87,188,25,4
2020-01-08,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper,88,133,1,65
2020-01-08,World War Joy,The Chainsmokers,89,65,3,-
2020-01-08,Pray For The Wicked,Panic! At The Disco,90,119,1,80
2020-01-08,good kid; m.A.A.d city,Kendrick Lamar,91,140,2,375
2020-01-08,Drip Harder,Lil Baby & Gunna,92,179,4,65
2020-01-08,Starboy,The Weeknd,93,183,1,162
2020-01-08,Curtain Call: The Hits,Eminem,94,162,1,477
2020-01-08,Back In Black,AC/DC,95,90,4,392
2020-01-08,Bad Vibes Forever,XXXTENTACION,96,76,5,4
2020-01-08,Beauty Behind The Madness,The Weeknd,97,189,1,226
2020-01-08,Norman Fucking Rockwell!,Lana Del Rey,98,112,3,18
2020-01-08,1989,Taylor Swift,99,174,1,264
2020-01-08,Sessions,G Herbo,100,100,1,-
2020-01-08,Ultimate Sinatra,Frank Sinatra,101,101,32,91
2020-01-08,17,XXXTENTACION,102,182,2,123
2020-01-08,Thriller,Michael Jackson,103,80,1,399
2020-01-08,Believers Never Die; Volume Two: Greatest Hits,Fall Out Boy,104,59,3,-
2020-01-08,Star Wars: The Rise Of Skywalker,Soundtrack,105,42,42,2
2020-01-08,Moana,Soundtrack,106,2,162,-
2020-01-08,Greatest Hits,2Pac,107,175,3,305
2020-01-08,Born To Die,Lana Del Rey,108,117,2,338
2020-01-08,Sweetener,Ariana Grande,109,185,1,72
2020-01-08,Blurryface,Twenty One Pilots,110,141,1,242
2020-01-08,Birds In The Trap Sing McKnight,Travis Scott,111,1,173,-
2020-01-08,21,Adele,112,145,1,446
2020-01-08,More Life,Drake,113,1,145,-
2020-01-08,Swimming,Mac Miller,114,116,3,74
2020-01-08,Perception,NF,115,191,1,117
2020-01-08,The Best Of Pentatonix Christmas,Pentatonix,116,7,7,10
2020-01-08,Center Point Road,Thomas Rhett,117,1,30,-
2020-01-08,k bye for now (swt live),Ariana Grande,118,97,97,2
2020-01-08,I Am > I Was,21 Savage,119,1,53,-
2020-01-08,Golden Hour,Kacey Musgraves,120,124,4,72
2020-01-08,Ocean,Lady Antebellum,121,167,11,7
2020-01-08,Their Greatest Hits 1971-1975,Eagles,122,170,1,307
2020-01-08,The Essential Elvis Presley,Elvis Presley,123,171,42,27
2020-01-08,Appetite For Destruction,Guns N' Roses,124,157,1,216
2020-01-08,Fever,Megan Thee Stallion,125,10,29,-
2020-01-08,Ctrl,SZA,126,196,3,134
2020-01-08,Certified Hitmaker,Lil Mosey,127,12,7,-
2020-01-08,Ella Mai,Ella Mai,128,5,63,-
2020-01-08,Nevermind,Nirvana,129,130,1,454
2020-01-08,K-12 (Soundtrack),Melanie Martinez,130,153,3,15
2020-01-08,Kane Brown,Kane Brown,131,199,5,161
2020-01-08,reputation,Taylor Swift,132,1,110,-
2020-01-08,Victory Lap,Nipsey Hussle,133,2,49,-
2020-01-08,Nothing Was The Same,Drake,134,1,314,-
2020-01-08,Doo-Wops & Hooligans,Bruno Mars,135,3,451,-
2020-01-08,Night Visions,Imagine Dragons,136,2,375,-
2020-01-08,Metallica,Metallica,137,147,1,555
2020-01-08,The Final Album (EP),LIL PHAG,138,138,1,-
2020-01-08,Blonde,Frank Ocean,139,1,159,-
2020-01-08,Greatest Hits,Bob Seger & The Silver Bullet Band,140,172,8,310
2020-01-08,x,Ed Sheeran,141,1,285,-
2020-01-08,H.E.R.,H.E.R.,142,23,114,-
2020-01-08,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,143,13,13,80
2020-01-08,Harder Than Ever,Lil Baby,144,3,83,-
2020-01-08,Cosmic,Bazzi,145,14,89,-
2020-01-08,Wow... That's Crazy,Wale,146,7,11,-
2020-01-08,Currents,Tame Impala,147,4,22,-
2020-01-08,Map Of The Soul: PERSONA,BTS,148,178,1,32
2020-01-08,Christmas,Michael Buble,149,2,1,82
2020-01-08,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,150,139,16,191
2020-01-08,Greatest Hits,The Notorious B.I.G.,151,1,203,-
2020-01-08,ANTI,Rihanna,152,1,201,-
2020-01-08,Tha Carter V,Lil Wayne,153,1,64,-
2020-01-08,Fear Inoculum,Tool,154,86,1,16
2020-01-08,T R A P S O U L,Bryson Tiller,155,8,203,-
2020-01-08,Merry Christmas,Mariah Carey,156,4,3,91
2020-01-08,Feed Tha Streets II,Roddy Ricch,157,67,54,-
2020-01-08,My Beautiful Dark Twisted Fantasy,Kanye West,158,1,117,-
2020-01-08,Oasis,J Balvin & Bad Bunny,159,9,25,-
2020-01-08,Greatest Hits,Fleetwood Mac,160,163,14,146
2020-01-08,Greatest Hits 1974-78,The Steve Miller Band,161,18,33,-
2020-01-08,In The Lonely Hour,Sam Smith,162,2,284,-
2020-01-08,The Beatles [White Album],The Beatles,163,176,1,212
2020-01-08,BALLADS 1,Joji,164,3,57,-
2020-01-08,The Essential Billy Joel,Billy Joel,165,15,172,-
2020-01-08,Bohemian Rhapsody (Soundtrack),Queen,166,96,2,63
2020-01-08,24K Magic,Bruno Mars,167,2,155,-
2020-01-08,Dying To Live,Kodak Black,168,1,52,-
2020-01-08,The Dark Side Of The Moon,Pink Floyd,169,102,1,949
2020-01-08,Wildcard,Miranda Lambert,170,136,4,9
2020-01-08,Flower Boy,Tyler| The Creator,171,2,63,-
2020-01-08,Drip Or Drown 2,Gunna,172,3,43,-
2020-01-08,I Am You,YNW Melly,173,20,48,-
2020-01-08,Life's A Trip,Trippie Redd,174,4,45,-
2020-01-08,Culture II,Migos,175,1,97,-
2020-01-08,MELT,SHAED,176,132,10,-
2020-01-08,Greatest Hits So Far...,Zac Brown Band,177,20,240,-
2020-01-08,Kamikaze,Eminem,178,1,66,-
2020-01-08,Nibiru,Ozuna,179,41,4,-
2020-01-08,The Big Day,Chance The Rapper,180,2,21,-
2020-01-08,Trench,Twenty One Pilots,181,195,2,63
2020-01-08,Rearview Town,Jason Aldean,182,1,86,-
2020-01-08,SuperM: The 1st Mini Album (EP),SuperM,183,1,10,-
2020-01-08,GINGER,BrockHampton,184,3,5,-
2020-01-08,A Decade Of Destruction,Five Finger Death Punch,185,29,96,-
2020-01-08,Marshmello: Fortnite Extended Set,Marshmello,186,45,43,-
2020-01-08,Hozier,Hozier,187,2,180,-
2020-01-08,Red Pill Blues,Maroon 5,188,2,106,-
2020-01-08,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,189,126,1,229
2020-01-08,Die Lit,Playboi Carti,190,3,79,-
2020-01-08,Future & Juice WRLD Present... WRLD ON DRUGS,Future & Juice WRLD,191,2,32,-
2020-01-08,The Christmas Song,Nat King Cole,192,8,7,49
2020-01-08,Origins,Imagine Dragons,193,2,51,-
2020-01-08,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,194,71,1,140
2020-01-08,Love Yourself: Answer,BTS,195,181,1,56
2020-01-08,A Love Letter To You 3,Trippie Redd,196,3,48,-
2020-01-08,Kidz Bop 40,Kidz Bop Kids,197,186,97,7
2020-01-08,25,Adele,198,1,177,-
2020-01-08,Purpose,Justin Bieber,199,1,154,-
2020-01-08,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates,200,34,66,-
2020-01-15,Please Excuse Me For Being Antisocial,Roddy Ricch,1,2,1,5
2020-01-15,Hollywood's Bleeding,Post Malone,2,3,1,18
2020-01-15,Fine Line,Harry Styles,3,4,1,4
2020-01-15,JACKBOYS,JACKBOYS,4,1,1,2
2020-01-15,Frozen II,Soundtrack,5,5,1,8
2020-01-15,KIRK,DaBaby,6,8,1,15
2020-01-15,When We All Fall Asleep; Where Do We Go?,Billie Eilish,7,6,1,41
2020-01-15,So Much Fun,Young Thug,8,7,1,21
2020-01-15,Over It,Summer Walker,9,10,2,14
2020-01-15,Ghetto Gospel,Rod Wave,10,17,10,10
2020-01-15,A Love Letter To You 4,Trippie Redd,11,11,1,7
2020-01-15,AI YoungBoy 2,YoungBoy Never Broke Again,12,13,1,13
2020-01-15,Lover,Taylor Swift,13,9,1,20
2020-01-15,What You See Is What You Get,Luke Combs,14,12,1,9
2020-01-15,Romance,Camila Cabello,15,14,3,5
2020-01-15,Goodbye & Good Riddance,Juice WRLD,16,15,4,86
2020-01-15,beerbongs & bentleys,Post Malone,17,19,1,89
2020-01-15,Death Race For Love,Juice WRLD,18,21,1,44
2020-01-15,No.6 Collaborations Project,Ed Sheeran,19,22,1,26
2020-01-15,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,20,20,20,34
2020-01-15,Cuz I Love You,Lizzo,21,16,4,38
2020-01-15,Dont Smile At Me,Billie Eilish,22,18,14,107
2020-01-15,Indigo,Chris Brown,23,26,1,28
2020-01-15,Perfect Ten,Mustard,24,32,8,28
2020-01-15,ASTROWORLD,Travis Scott,25,24,1,75
2020-01-15,Melly vs. Melvin,YNW Melly,26,27,8,7
2020-01-15,Scorpion,Drake,27,25,1,80
2020-01-15,Greatest Hits,Queen,28,23,11,368
2020-01-15,This One's For You,Luke Combs,29,28,4,136
2020-01-15,The Kids Are Coming (EP),Tones And I,30,33,30,14
2020-01-15,True 2 Myself,Lil Tjay,31,42,5,13
2020-01-15,Stoney,Post Malone,32,35,4,161
